主要基金,幣別,級別,配息,台新,陽信,臺銀,永豐,中信,兆豐,臺企,三信,瑞士,基富通,鉅亨,中租,王道,京城,一銀,彰銀,安泰,板信,華泰,上海,土銀,合庫,高雄銀,凱基銀,富邦,玉山,元富證,遠銀,國泰,華南,新光銀,統一證,凱基證,台中銀,元大銀,星展,元大證,兆豐證,群益證,富邦證,永豐金證,將來銀,好好證
AI精準醫療,台幣,前收,累積,3729,7522,4834,GK8,55300037,3342,6834,1542,x,FSI015,A03094,34034,21032,x,51CS,6276,5833,1230,4728,6028,C432,x,4530,x,x,1624,FD01040,DN29,10120040,039031,x,A230002A,3042,x,x,x,WMF003356,有上架,64,DM100024,240009,有上架,FS59
AI精準醫療,台幣,後收,累積,8655,x,x,x,x,9805,x,x,x,x,x,x,51028,x,88AV,x,5B01,x,X,6F01,x,x,x,x,x,1A24,x,EE07 ,x,x,x,A23B002C,3068,x,x,x,x,x,66,x,x,x,X
AI金融科技,美元,前收,累積,5198,x,DH02,442,65300007,7F07,D606,x,x,FSI014,A03065,34033,21011,x,51CI,0E02,9X02,9102,X,6B05,L502,x,4529,CF06,x,7601,FD01035,x,10120039,x,9S02,x,3002,x,x,x,WMF003025,有上架,53,x,x,x,FS34
AI金融科技,美元,後收,累積,8453,x,x,x,65300013,8G02,x,x,x,x,x,x,51007,x,88AU,x,x,x,x,x,x,x,x,x,x,1B01,x,x,x,x,x,x,x,x,x,x,WMF003026,x,55,x,x,x,X
AI金融科技,台幣,前收,累積,3726,x,4833,GK5,55300036,3339,6831,1538,x,FSI013,A03064,34032,21010,x,51CH,6224,5830,1227,X,6021,C430,x,4528,FC09,x,1623,FD01034,x,10120038,x,0534,x,3001,x,x,x,x,有上架,52,x,x,有上架,FS33
AI金融科技,台幣,後收,累積,8653,x,x,x,x,9802,x,x,x,x,x,x,51006,x,88AT,x,x,x,x,x,x,x,x,x,x,1A23,x,x,x,x,x,x,x,x,x,x,x,x,54,x,x,x,X
電競,美元,前收,累積,x,7E06,DH10,x,65300020,7F17,D612,x,x,FSI054,A03136,34018,21037,x,51DR,x,9X11,9107,N402,x,L508,x,x,x,x,x,FD01045,x,x,x,x,A230001B,3061,x,x,x,WMF004208,有上架,37,DM100026,x,x,FSA7
電競,美元,後收,累積,x,x,P703,x,65300021,8G12,D683,x,x,x,x,x,51033,x,88BK,x,4J06,ZA01,x,x,x,x,x,x,x,x,x,x,x,x,x,A23B001D,x,x,x,x,x,x,x,x,x,x,X
電競,台幣,前收,累積,x,7524,4839,x,55300041,3347,6837,1546,x,FSI053,A03135,34017,21036,x,51DQ,x,5837,1232,4726,x,C436,x,x,x,x,x,FD01042,x,x,x,x,A230001A,3060,x,x,x,WMF004207,有上架,36,DM100025,x,有上架,FSA6
電競,台幣,後收,累積,x,x,N703,x,55300042,9810,6883,x,x,x,x,x,51032,x,88BJ,x,5B06,YA01,x,x,x,x,x,x,x,x,x,x,x,x,x,A23B001C,x,x,x,x,x,x,x,x,x,x,X
健康瘦身,美元,前收,累積,x,x,DH08,x,65300022,7F19,D610,x,x,FSI056,A03140,34020,21039,x,51DT,x,x,9108,x,x,L509,x,x,x,x,x,FD01046,x,x,x,x,x,3059,x,x,x,WMF004210,有上架,41,x,x,x,FS99
健康瘦身,美元,後收,累積,x,x,P701,x,65300023,8G14,D681,x,x,x,x,x,51035,x,88BM,x,x,ZA02,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
健康瘦身,台幣,前收,累積,x,x,4837,x,55300043,3349,6835,1547,x,FSI055,A03139,34019,21038,x,51DS,x,x,1233,x,x,C437,x,x,x,x,x,FD01043,x,x,x,x,x,3058,x,x,x,WMF004209,有上架,40,DM100027,x,有上架,FS98
健康瘦身,台幣,後收,累積,x,x,N701,x,55300044,9812,6881,x,x,x,x,x,51034,x,88BL,x,x,YA02,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
毛小孩,美元,前收,累積,x,x,DH09,x,x,7F18,D611,x,x,FSI058,A03144,34022,x,x,51DV,x,9X12,9109,x,x,L510,x,x,x,x,x,FD01047,x,x,9E09,x,x,3057,x,x,x,WMF004212,有上架,45,x,x,x,X
毛小孩,美元,後收,累積,x,x,P702,x,x,8G13,D682,x,x,x,x,x,x,x,88BO,x,4J07,ZA03,x,x,x,x,x,x,x,x,x,x,x,9E10,x,x,x,x,x,x,x,x,x,x,x,x,X
毛小孩,台幣,前收,累積,x,x,4838,x,x,3348,6836,1548,x,FSI057,A03143,34021,x,x,51DU,x,5838,1234,x,x,C438,x,x,x,x,x,FD01044,x,x,039032,x,x,3056,x,x,x,WMF004211,有上架,44,DM100028,x,x,X
毛小孩,台幣,後收,累積,x,x,N702,x,x,9811,6882,x,x,x,x,x,x,x,88BN,x,5B07,YA03,x,x,x,x,x,x,x,x,x,x,x,039033,x,x,x,x,x,x,x,x,x,x,x,x,X
水電瓦斯,美元,前收,累積,5196,7E01,DH11,481,65300005,7F08,D607,1595,x,FSI029,A03089,34015,21013,x,51CP,0E07,9X03,9103,N406,6B06,L506,CQ02,4534,CF09,x,x,FD01038,FO01,10120048,9E11,x,A230005C,3040,x,x,x,WMF003267 ,有上架,58,DM100031,240015,x,FS42
水電瓦斯,美元,後收,累積,8451,x,P708,x,65300010,8G03,D684,x,x,x,x,x,51009,x,88AG,0EA4,4J04,ZA04,x,6G02,x,YE02,x,CN03,x,x,x,ES01,x,9E14,x,A23B005G,3073,x,x,x,x,x,62,x,x,x,X
水電瓦斯,美元,前收,月配,5197,7E02,DH12,482,65300006,7F09,D608,1594,x,FSI030,A03090,34016,21015,x,51CQ,0E08,9X04,9104,N407,6B07,L507,CQ03,4535,CF10,x,x,FD01039,FO02,10120049,9E12,x,A230005D,3041,x,x,x,WMF003268,有上架,59,DM100032,240016,x,FS43
水電瓦斯,美元,後收,月配,8452,x,P709,x,65300011,8G04,D685,x,x,x,x,x,51011,x,88AH,0EA5,4J05,ZA05,x,6G03,x,YE03,x,CN04,x,x,x,ES02,x,9E15,x,A23B005H,3074,x,x,x,x,x,63,x,x,x,X
水電瓦斯,台幣,前收,累積,3727,7519,4840,GK6,55300034,3340,6832,1540,x,FSI027,A03087,34013,21012,x,51CN,6226,5831,1228,4730,6022,C434,7919,4532,FC12,x,x,FD01036,DN16,10120046,039034,x,A230005A,3038,x,x,x,WMF003265,有上架,56,DM100029,240013,有上架,FS40
水電瓦斯,台幣,後收,累積,8651,x,N706,x,x,9803,6886,x,x,x,x,x,51008,x,88AE,62A4,5B04,YA04,x,6F02,x,ZE02,x,x,x,x,x,EE01,x,039037,x,A23B005E,3071,x,x,x,x,x,60,x,x,x,X
水電瓦斯,台幣,前收,月配,3728,7520,4841,GK7,55300035,3341,6833,1541,x,FSI028,A03088,34014,21014,x,51CO,6227,5832,1229,4731,6023,C435,7920,4533,FC13,x,x,FD01037,DN17,10120047,039035,x,A230005B,3039,x,x,x,WMF003266 ,有上架,57,DM100030,240014,有上架,FS41
水電瓦斯,台幣,後收,月配,8652,x,N707,x,x,9804,6887,x,x,x,x,x,51010,x,88AF,62A5,5B05,YA05,x,6F03,x,ZE03,x,x,x,x,x,EE02,x,039038,x,A23B005F,3072,x,x,x,x,x,61,x,x,x,X
中國世紀,美元,前收,累積,x,x,x,485,x,x,x,x,x,FSI044,A03075,34049,21007,x,51CR,x,x,x,x,x,x,x,x,CF01,x,x,x,x,x,x,x,x,x,x,x,x,x,有上架,59,x,x,x,FS52
中國世紀,美元,後收,累積,x,x,x,x,x,x,x,x,x,x,x,x,51003,x,88AJ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
中國世紀,人民幣,前收,累積,x,x,x,303,65300004,7F04,D602,1599,x,FSI043,A03051,34048,21006,x,51BU,x,x,x,N401,6B01,L501,x,x,x,x,x,x,x,x,x,x,x,3021,x,x,x,x,有上架,x,DM100023,x,x,FS22
中國世紀,人民幣,後收,累積,x,x,x,x,x,x,x,x,x,x,x,x,51002,x,88AK,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,WMF002753,x,x,x,x,x,X
中國世紀,台幣,前收,累積,x,x,4824,GJ8,55300033,3336,6825,1526,x,FSI042,A03038,34047,21005,x,51BJ,6215,x,1222,4725,6017,C426,x,4524,FC01,x,1622,FD01016,x,10120026,x,x,x,3020,x,NI26,x,WMF002752,有上架,x,DM100008,x,有上架,FS15
中國世紀,台幣,後收,累積,x,x,x,x,x,x,x,x,x,x,x,x,51001,x,88AI,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
亞洲科技,台幣,前收,累積,3711,7506,4808,GH8,55300012,3304,6810,1512,x,FSI045,A03020,34043,x,O,51AR,6275,5814,1209,4704,6005,C411,7907,4508,x,0916,1612,FD01014,DN19,10120011,039010,x,x,3008,8153,NI12,917206,WMF002742 ,有上架,15,x,x,有上架,FS06
電子(台股),台幣,前收,累積,3709,7505,4806,GH6,55300009,3305,6805,1503,x,FSI003,A03018,34052,21003,O,51AM,6257,5812,1205,4706,6003,C409,7905,4506,x,0914,1606,FD01002,DN22,10120008,039008,0509,A230011,3007,8103,NI06,917205,WMF002741,有上架,24,x,x,有上架,FS05
創新趨勢A(台股),台幣,前收,累積,3724,7518,4826,GJ3,55300029,3330,6813,1528,x,FSI006,A03040,34029,21004,O,51BL,6208,5826,1225,4724,6016,C429,7916,4520,FC08,0927,1620,FD01010,DN14,x,039025,x,x,3023,8115,NI28,917225,WMF002755 ,有上架,20,DM100005,x,有上架,FS17
創新趨勢TISA(台股),台幣,前收,累積,x,x,x,x,55370001,,,,x,,A03182,34056,x,x,51EN,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,FSB0
店頭市場(台股),台幣,前收,累積,3706,x,4803,GH3,55300007,3314,x,1505,x,FSI005,A03013,34050,x,O,51AJ,6211,5809,1206,x,6001,C406,7902,4503,x,0911,1604,FD01001,DN20,10120005,039005,0502,x,3005,8101,NI04,917215,WMF002739,有上架,17,x,x,x,FS03
小型精選A(台股),台幣,前收,累積,3708,7504,4805,GH5,55300008,x,6806,1504,x,FSI009,A03016,34044,x,O,51AL,6248,5811,1207,4701,6002,C408,7904,4505,x,0913,1605,FD01004,DN21,10120007,039007,0501,A230010,3006,8102,NI05,917204,WMF002740 ,有上架,x,DM100004,x,有上架,FS04
小型精選TISA(台股),台幣,前收,累積,x,x,x,x,55370002,,,,x,,A03183,34057,x,x,51EO,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,FSB4
核心戰略(台股),台幣,前收,累積,x,x,x,x,x,x,6838,x,x,FSI059,A03166,34045,x,x,51EE,6218,5839,x,4732,x,C439,x,4542,x,x,x,x,x,x,x,x,A230004A,x,x,x,x,WMF004557,有上架,92,x,240001,有上架,FSAA
核心戰略(台股),台幣,前收,月配,x,x,x,x,x,x,6839,x,x,FSI060,A03165,34046,x,x,51EF,6219,x,x,x,x,x,x,4543,x,x,x,x,x,x,x,x,A230004B,x,x,x,x,WMF004562,有上架,93,x,240002,有上架,FSAB
核心戰略(台股),台幣,後收,累積,x,x,x,x,x,x,6884,x,x,x,x,x,x,x,88BR,62A8,5B08,x,x,x,x,x,7F51,x,x,x,x,x,x,x,x,A23B004C,x,x,x,x,WMF004558,x,x,x,x,x,X
核心戰略(台股),台幣,後收,月配,x,x,x,x,x,x,6885,x,x,x,x,x,x,x,88BS,62A9,x,x,x,x,x,x,7F52,x,x,x,x,x,x,x,x,A23B004D,x,x,x,x,WMF004563,x,x,x,x,x,X
大趨勢,台幣,前收,累積,3723,x,4822,GJ2,x,3325,6823,1523,x,FSI041,A03061,34042,x,O,51BG,6207,5827,1221,4723,x,C423,7917,4519,x,0926,1619,FD01015,DN24,x,x,0524 ,x,3013,8161,x,917223,WMF002747,有上架,08,DM100007,x,x,FS11
大趨勢,人民幣,前收,累積,x,x,x,x,x,x,x,x,x,,,x,x,x,51EK,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
大趨勢TISA,台幣,前收,累積,x,x,x,x,55370004,,,,x,,,無代號,x,x,無代號,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,FSB3
中概平衡(台股),台幣,前收,累積,3715,7509,4812,GI6,55300016,3309,6802,1507,x,FSI010,x,34051,x,x,51AV,6203,5819,1213,4702,x,C415,7922,4514,x,0920,1618,x,DN23,10120017,039017,x,x,3010,8107,NI19,917209,x,有上架,04,x,x,x,FS08
亞洲新興市場,台幣,前收,累積,x,x,4825,G10,55300025,3331,6824,1527,x,FSI046,A03054,34053,x,O,51BK,6210,5828,x,x,6013,C427,7915,4525,x,0928,1621,FD01017,DN15,x,039027,0532,x,3022,x,NI27,917224,WMF002754,有上架,16,x,x,x,FS16
不動產證券化,台幣,前收,累積,3719,x,4818,GI9,55300020,3318,6812,1518,x,x,x,x,x,x,51AE,6213,5824,x,x,x,x,7981,4517,x,0923,x,x,x,x,039019,0517,x,3011,8159,x,917221,x,有上架,09,x,x,x,x
不動產證券化,台幣,前收,季配,3720,x,x,GJ9,55300021,3319,x,1519,x,x,x,x,x,O,51AF,6212,X,x,x,x,x,7982,x,x,0924,x,x,x,10120023,039020,x,x,3012,8158,x,917222,x,有上架,10,x,x,x,x
影響力投資多重,台幣,前收,累積,x,x,4855,x,x,x,6840,x,x,FSI061,A03171,34038,x,x,51EG,x,5840,1237,4735,x,x,x,4544,x,x,x,x,x,x,x,x,A230006A,3075,x,x,x,WMF004793,有上架,96,x,240018,有上架,FSAE
影響力投資多重,台幣,前收,月配,x,x,4856,x,x,x,6841,x,x,FSI062,A03172,34039,x,x,51EH,x,5841,1238,4736,x,x,x,4545,x,x,x,x,x,x,x,x,A230006B,3076,x,x,x,WMF004794,有上架,97,x,240019,有上架,FSAF
影響力投資多重,美元,前收,累積,x,x,DH15,x,x,x,D613,x,x,FSI063,A03173,34040,x,x,51EI,x,9X13,9112,N410,x,x,x,4546,x,x,x,x,x,x,x,x,A230006C,3077,x,x,x,WMF004795,x,98,x,240020,x,FSAG
影響力投資多重,美元,前收,月配,x,x,DH16,x,x,x,D614,x,x,FSI064,A03174,34041,x,x,51EJ,x,9X14,9113,N411,x,x,x,4547,x,x,x,x,x,x,x,x,A230006D,3078,x,x,x,WMF004796,x,99,x,240021,x,FSAH
量化日本,台幣,前收,累積,x,x,x,x,,x,x,x,x,FSI065,A03178,34054,21040,x,51EL,6227,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,有上架,x,x,240022,x,FSB1
量化日本,日圓,前收,累積,x,x,x,x,,x,x,x,x,FSI066,A03179,34055,x,x,51EM,0E09,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,有上架,x,x,240023,x,FSB2
美國100大債,美元,前收,累積,x,7E07,DH13,x,65300024,7F11,x,x,x,FSI039,A03104,34003,21018,x,51CY,0E04,x,9110,N408,x,x,x,x,x,x,x,x,FO03 ,x,x,x,A230008C,3046,x,x,x,WMF003759,有上架,74,x,240005,x,FS80
美國100大債,美元,後收,累積,x,x,x,x,65300026,8G06,x,x,x,x,x,x,51014,x,88BB,0EA1,x,ZA08,x,x,x,x,x,x,x,x,x,ES03,x,x,x,A23B007G,x,x,x,x,x,x,78,x,x,x,X
美國100大債,美元,前收,月配,x,7E08,x,x,65300025,7F12,x,x,x,FSI040,A03105,34004,21019,x,51CZ,0E05,x,9111,N408,x,x,x,x,x,x,x,x,FO04,x,x,x,A230008D,3047,x,x,x,WMF003760,有上架,75,x,240006,x,FS71
美國100大債,美元,後收,月配,x,x,P710,x,65300027,8G07,x,x,x,x,x,x,51015,x,88BC,0EA2,x,ZA09,x,x,x,x,x,x,x,x,x,ES04 ,x,x,x,A23B007H,x,x,x,x,x,x,79,x,x,x,X
美國100大債,台幣,前收,累積,x,7525,4853,x,55300045,3343,x,x,x,FSI037,A03102,34001,21016,x,51CW,6267,x,1235,4733,x,x,x,x,x,x,x,x,DN25 ,x,x,x,A230008A,3044,x,x,x,WMF003757 ,有上架,72,x,240003,有上架,FS77
美國100大債,台幣,後收,累積,x,x,x,x,55300047,9806,x,x,x,x,x,x,51012,x,88AZ,62A1,x,x,YA08,x,x,x,x,x,x,x,x,EE03 ,x,x,x,A23B007E,x,x,x,x,x,x,76,x,x,x,X
美國100大債,台幣,前收,月配,x,7526,x,x,55300046,3344,x,1544,x,FSI038,A03103,34002,21017,x,51CX,6268,x,1236,4734,x,x,x,x,x,x,x,x,DN26 ,x,x,x,A230008B,3045,x,x,x,WMF003758,有上架,73,x,240004,有上架,FS76
美國100大債,台幣,後收,月配,x,x,N708,x,55300048,9807,x,x,x,x,x,x,51013,x,88BA,62A2,x,x,YA09,x,x,x,x,x,x,x,x,EE04 ,x,x,x,A23B007F,x,x,x,x,x,x,77,x,x,x,X
美國100大債TISA,台幣,前收,累積,x,x,x,x,55370003,,,,x,,,無代號,x,x,無代號,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,FSB5
富國債,美元,前收,累積,x,x,DH04,x,x,7F13,x,x,x,FSI049,A03120,34007,21028,x,51DE,x,9X07,x,x,x,x,x,x,x,x,x,x,x,x,x,x,A230009C,x,x,x,x,WMF004127,有上架,82,x,x,x,FS88
富國債,美元,後收,累積,x,x,P704,x,x,8G08,x,x,x,x,x,x,51024,x,88BF,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,A23B008I,x,x,x,x,x,x,88,x,x,x,X
富國債,美元,前收,月配,x,x,DH05,x,x,7F14,x,x,x,FSI050,A03114,34008,21029,x,51DF,x,9X08,x,x,x,x,x,x,x,x,x,x,x,x,x,x,A230009D,x,x,x,x,WMF004128,有上架,83,x,x,x,FS89
富國債,美元,後收,月配,x,x,P705,x,x,8G09,x,x,x,x,x,x,51025,x,88BG,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,A23B008J,x,x,x,x,x,x,89,x,x,x,X
富國債,人民幣,前收,累積,x,x,DH06,x,x,7F15,x,x,x,FSI051,A03118,34009,21030,x,51DG,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,WMF004129,有上架,84,x,x,x,FS90
富國債,人民幣,後收,累積,x,x,P706,x,x,8G10,x,x,x,x,x,x,51026,x,88BH,x,9X09,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,90,x,x,x,X
富國債,人民幣,前收,月配,x,x,DH07,x,x,7F16,x,x,x,FSI052,A03112,34010,21031,x,51DH,x,9X10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,WMF004130,有上架,85,x,x,x,FS91
富國債,人民幣,後收,月配,x,x,P707,x,x,8G11,x,x,x,x,x,x,51027,x,88BI,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,91,x,x,x,X
富國債,台幣,前收,累積,x,x,4835,x,x,3345,x,x,x,FSI047,A03122,34005,21026,x,51DC,x,5835,x,x,x,x,x,x,x,x,x,x,x,x,x,x,A230009A,x,x,x,x,WMF004125,有上架,80,x,x,有上架,FS86
富國債,台幣,後收,累積,x,x,N704,x,x,9808,x,x,x,x,x,x,51022,x,88BD,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,A23B008G,x,x,x,x,x,x,86,x,x,x,X
富國債,台幣,前收,月配,x,x,4836,x,x,3346,x,1545,x,FSI048,A03116,34006,21027,x,51DD,x,5836,x,x,x,x,x,x,x,x,x,x,x,x,x,x,A230009B,x,x,x,x,WMF004126,有上架,81,x,x,有上架,FS87
富國債,台幣,後收,月配,x,x,N705,x,x,9809,x,x,x,x,x,x,51023,x,88BE,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,A23B008H,x,x,x,x,x,x,87,x,x,x,X
非投資等級,美元,前收,累積,x,x,x,304,x,x,x,x,x,FSI033,A03049,34025,21022,x,51BV,x,x,x,x,x,x,x,x,x,x,x,x,x,10120042,x,x,x,3016,x,x,x,WMF002749 ,有上架,x,x,x,x,FS20
非投資等級,美元,後收,累積,x,x,x,GE0,x,x,x,x,x,x,x,x,51018,x,88AN,x,x,ZA06,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,WMF002751,x,x,x,x,x,X
非投資等級,美元,前收,月配,x,x,x,305,x,x,x,x,x,FSI034,A03050,34026,21023,x,51BW,x,x,x,x,x,x,x,x,x,x,x,x,x,10120043,x,x,x,3017,x,x,x,x,有上架,x,x,x,x,FS21
非投資等級,美元,後收,月配,x,x,x,GE1,x,x,x,x,x,x,x,x,51019,x,88AO,x,x,ZA07,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
非投資等級,台幣,前收,累積,x,x,4823,GJ4,55300027,3324,6816,1524,x,FSI032,A03036,34023,21020,O,51BH,x,x,12F1,4721,6014,C424,7943,x,x,x,x,FD01024,x,10120028,x,x,x,3014,8162,NI24,x,WMF002748 ,有上架,13,x,x,有上架,FS13
非投資等級,台幣,後收,累積,x,x,x,GF0,x,x,x,x,x,x,x,x,51016,x,88AL,x,x,YA06,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,WMF002750 ,x,x,x,x,x,X
非投資等級,台幣,前收,月配,x,x,4829,GJ5,55300028,3328,6817,1525,TW000T0332B2,FSI031,A03037,34024,21021,O,51BI,x,x,12F2,4722,6015,C425,7944,4522,x,x,x,FD01025,x,10120029,x,0530 ,x,3015,x,NI25,x,x,有上架,14,x,x,有上架,FS14
非投資等級,台幣,後收,月配,x,x,x,GF1,x,x,x,x,x,x,x,x,51017,x,88AM,x,x,YA07,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
非投資等級,人民幣,前收,累積,x,x,x,443,x,x,x,x,x,FSI035,A03062,34027,21024,x,51CF,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3018,x,x,x,WMF003010 ,有上架,x,x,x,x,FS31
非投資等級,人民幣,後收,累積,x,x,x,GD0,x,x,x,x,x,x,x,x,51020,x,88AP,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,WMF003011,x,x,x,x,x,X
非投資等級,人民幣,前收,月配,x,x,x,444,x,x,x,x,x,FSI036,A03063,34028,21025,x,51CG,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3019,x,x,x,x,有上架,x,x,x,x,FS32
非投資等級,人民幣,後收,月配,x,x,x,GD1,x,x,x,x,x,x,x,x,51021,x,88AQ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四年新興市場債,台幣,前收,累積,x,x,x,x,55300039,x,x,x,x,x,x,x,x,x,51DI,x,x,x,x,6024,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四年新興市場債,台幣,前收,年配,x,x,x,x,55300040,x,x,x,x,x,x,x,x,x,51DJ,x,x,x,x,6025,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四年新興市場債,美元,前收,累積,x,x,x,x,65300016,x,x,x,x,x,x,x,x,x,51DK,x,x,x,x,6B08,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四年新興市場債,美元,前收,年配,x,x,x,x,65300017,x,x,x,x,x,x,x,x,x,51DL,x,x,x,x,6B09,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四年新興市場債,人民幣,前收,累積,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51DM,x,x,x,x,6B10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四年新興市場債,人民幣,前收,年配,x,x,x,x,65300018,x,x,x,x,x,x,x,x,x,51DN,x,x,x,x,X,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四年新興市場債,南非幣,前收,累積,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51DO,x,x,x,x,6B11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
